valid_time,latitude,longitude,number_x,expver_x,u10,v10,t2m,number_y,expver_y,tp,sf
2024-01-01 06:00:00,47.0,5.0,0,1,1.6726532,4.009674,278.4032,0,1,6.198883e-06,0.0
2024-01-01 06:00:00,47.0,5.25,0,1,1.4246063,4.494049,278.5946,0,1,1.66893e-05,0.0
2024-01-01 06:00:00,47.0,5.5,0,1,1.4207001,4.667877,278.97937,0,1,2.6226044e-05,0.0
2024-01-01 06:00:00,47.0,5.75,0,1,1.7009735,4.5975647,278.495,0,1,4.339218e-05,0.0
2024-01-01 06:00:00,47.0,6.0,0,1,2.3464813,4.2967834,276.87195,0,1,0.00015830994,7.772446e-05
2024-01-01 06:00:00,46.75,5.0,0,1,0.9539032,3.500885,278.41492,0,1,1.7166138e-05,0.0
2024-01-01 06:00:00,46.75,5.25,0,1,0.41874695,4.068268,278.59656,0,1,3.0517578e-05,0.0
2024-01-01 06:00:00,46.75,5.5,0,1,0.38749695,4.427643,278.5829,0,1,5.2452087e-05,0.0
2024-01-01 06:00:00,46.75,5.75,0,1,0.9988251,4.1981506,276.92664,0,1,0.00020885468,0.00011014938
2024-01-01 06:00:00,46.75,6.0,0,1,1.9929657,3.7118225,274.76062,0,1,0.0005159378,0.00037825108
2024-01-01 06:00:00,46.5,5.0,0,1,0.26835632,3.0663147,278.11804,0,1,3.8146973e-06,0.0
2024-01-01 06:00:00,46.5,5.25,0,1,-0.8478546,3.869049,278.61023,0,1,6.67572e-06,0.0
2024-01-01 06:00:00,46.5,5.5,0,1,-0.44844055,3.710846,277.286,0,1,4.720688e-05,0.0
2024-01-01 06:00:00,46.5,5.75,0,1,0.39530945,3.3348694,275.9071,0,1,0.00030565262,0.00024282932
2024-01-01 06:00:00,46.5,6.0,0,1,1.7117157,2.7118225,274.26843,0,1,0.0008330345,0.0007916689
2024-01-01 06:00:00,46.25,5.0,0,1,-0.05293274,2.7079163,277.5575,0,1,1.4305115e-06,0.0
2024-01-01 06:00:00,46.25,5.25,0,1,-1.503128,3.2538147,278.0575,0,1,3.8146973e-06,0.0
2024-01-01 06:00:00,46.25,5.5,0,1,-0.8488312,2.5682678,276.78406,0,1,0.0002040863,0.0
2024-01-01 06:00:00,46.25,5.75,0,1,-0.109573364,2.2997131,276.17664,0,1,0.00026750565,0.0
2024-01-01 06:00:00,46.25,6.0,0,1,0.74394226,2.4217834,276.04382,0,1,0.00024223328,6.0081482e-05
2024-01-01 06:00:00,46.0,5.0,0,1,-0.3009796,1.9950256,276.5907,0,1,4.7683716e-07,0.0
2024-01-01 06:00:00,46.0,5.25,0,1,-1.5578156,1.8905334,276.9286,0,1,4.7683716e-07,0.0
